,Baseline 1,Baseline 2,Baseline 3,Baseline 4,Baseline 5
Output 1,0.29918265871930094,0.055372796955300244,0.10068170798045475,0.17579408665039944,0.1461071548042628
Output 2,0.16466505446651553,0.036562791,0.059187927121622484,0.094747614,0.036651387334666066
Output 3,0.1694333571995785,0.012419955,0.011115824,0.012104332377345085,0.049511515
Output 4,0.12937011617909203,0.022189903361068585,0.0198599,0.032439002,0.055351294
Output 5,0.2167097139112622,0.04463242,0.088403648,0.10849333935241161,0.044740571
Output 6,0.10432642156906508,0.034823982645527635,0.051761708,0.052425567,0.050802179
