Component 1,Component 2,Type
-0.270343014,0.585389441,Baseline
0.5525321791462905,-0.087304389,Baseline
0.19880084018345104,-0.030690731,Baseline
-0.490609553,-0.148247895,Baseline
-0.29636043,0.4991999064117373,Baseline
0.2906242948946141,0.010940234,Output
0.5014281623994238,-0.116085766,Output
-0.209434766,-0.31587957,Output
-0.44366679,-0.561726822,Output
0.16702907642738501,0.1644055917045156,Output
